OBJECTID,SSL,LAND_USE_CODE,LAND_USE_DESCRIPTION,LANDAREA,PROPERTY_ADDRESS,OWNER_NAME_PRIMARY,APPRAISED_VALUE_PRIOR_LAND,APPRAISED_VALUE_PRIOR_IMPR,APPRAISED_VALUE_PRIOR_TOTAL,APPRAISED_VALUE_PROPOSED_LAND,APPRAISED_VALUE_PROPOSED_IMPR,APPRAISED_VALUE_PROPOSED_TOTAL,APPRAISED_VALUE_CURRENT_LAND,APPRAISED_VALUE_CURRENT_BLDG,VACANT_USE,HOMESTEAD_CODE,HOMESTEAD_DESCRIPTION,TAX_TYPE_DESCRIPTION,TAXRATE,MIXED_USE,OWNER_OCCUPIED_COOP_UNITS,LAST_SALE_PRICE,LAST_SALE_DATE,DEED_DATE,CURRENT_ASSESSMENT_CAP,PROPOSED_ASSESSMENT_CAP,OWNER_NAME_SECONDARY,ADDRESS_ID,LASTMODIFIEDDATE,APPRAISED_VALUE_CURRENT_TOTAL
1748,5868S   0895,092,Vacant-With Permit,860,902 HEIGHTS ALY SE WASHINGTON DC 20032-5949,SYCAMORE ASSOCIATES LLC,14980,0,14980,110010,0,110010,14980,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,4880004,1/29/2021 12:00:00 AM,1/29/2021 12:00:00 AM,14980,110010,,,1/27/2023 8:03:12 AM,14980
1749,0473    7088,193,Vacant-Zoning Limits,0,MAINE AVE SW WASHINGTON DC 20024,DISTRICT OF COLUMBIA,121360,0,121360,121360,0,121360,121360,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,121360,121360,WHARF PHASE 3 CONDO OWNER LLC,,1/27/2023 8:03:12 AM,121360
1750,PAR 00890052,191,Vacant-True,115181,13TH ST NW WASHINGTON DC 20012,DISTRICT OF COLUMBIA,4966600,0,4966600,4966600,0,4966600,4966600,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,4966600,4966600,,,1/27/2023 8:03:12 AM,4966600
1751,4296    0023,093,Vacant-Zoning Limits,2919,24TH ST NE WASHINGTON DC 20018,"HOLMES, DEBORAH V",44400,0,44400,44400,0,44400,44400,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,9/14/2018 12:00:00 AM,9/14/2018 12:00:00 AM,44400,44400,,,1/27/2023 8:03:12 AM,44400
1752,3708    0844,091,Vacant-True,13,1ST ST NE WASHINGTON DC 20011,DISTRICT OF COLUMBIA,100,0,100,110,0,110,100,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,100,110,,,1/27/2023 8:03:12 AM,100
1753,3701    0072,191,Vacant-True,4188,INGRAHAM ST NE WASHINGTON DC 20011,GAW LLC,93500,0,93500,93500,0,93500,93500,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,187000,11/15/2019 12:00:00 AM,11/15/2019 12:00:00 AM,93500,93500,,,1/27/2023 8:03:12 AM,93500
1754,4327    1313,093,Vacant-Zoning Limits,170913,COMMODORE JOSHUA BARNEY DR NE WASHINGTON DC 00000,FORT LINCOLN JOSHUA BARNEY TOWNHOUSE LLC,10,0,10,10,0,10,10,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,10,10,,,1/27/2023 8:03:12 AM,10
1755,1544    0818,093,Vacant-Zoning Limits,1920,ELLICOTT ST NW WASHINGTON DC 20016,"LARSON, C",65630,0,65630,65630,0,65630,65630,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,65630,65630,"RUTTINGER, G",,1/27/2023 8:03:12 AM,65630
1756,5564    0827,093,Vacant-Zoning Limits,842,2120 YOUNG ST SE WASHINGTON DC 20020,YOUNG STREET LP,5120,0,5120,5120,0,5120,5120,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,5120,5120,,,1/27/2023 8:03:12 AM,5120
1757,2588    0829,191,Vacant-True,847,HARVARD ST NW WASHINGTON DC 20009,DISTRICT OF COLUMBIA HOUSING AUTHORITY,51250,0,51250,51250,0,51250,51250,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,9/13/2001 12:00:00 AM,9/13/2001 12:00:00 AM,51250,51250,,,1/27/2023 8:03:12 AM,51250
1758,3156    0807,191,Vacant-True,667,NICHOLSON ST NW WASHINGTON DC 20011,UNITED STATES OF AMERICA,13590,0,13590,13590,0,13590,13590,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,13590,13590,,,1/27/2023 8:03:12 AM,13590
1759,5087    0874,091,Vacant-True,19453,BENNING RD NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,136950,0,136950,136950,0,136950,136950,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,136950,136950,,,1/27/2023 8:03:12 AM,136950
1760,6249    0839,091,Vacant-True,1317,SOUTHERN AVE SE WASHINGTON DC 20032,JOHENNING BAPTIST CHURCH,4870,0,4870,4870,0,4870,4870,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/15/1998 12:00:00 AM,12/15/1998 12:00:00 AM,4870,4870,,,1/27/2023 8:03:12 AM,4870
1761,3555    0084,093,Vacant-Zoning Limits,276,302 BRYANT ST NE WASHINGTON DC 20002-1122,"FIGLIOZZI, NUNZIA",1570,0,1570,1570,0,1570,1570,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1570,1570,,,1/27/2023 8:03:12 AM,1570
1762,PAR 01160058,191,Vacant-True,1549,CEDAR ST NW WASHINGTON DC 20012,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),76810,0,76810,76810,0,76810,76810,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,76810,76810,,,1/27/2023 8:03:12 AM,76810
1763,3605    0831,191,Vacant-True,872598,NEW YORK AVE NE WASHINGTON DC 20018,WASHINGTON TERMINAL COMPANY,22373410,0,22373410,22373410,0,22373410,22373410,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,22373410,22373410,,,1/27/2023 8:03:12 AM,22373410
1764,RES 00720000,191,Vacant-True,18200,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,663210,0,663210,663210,0,663210,663210,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,663210,663210,,320262,1/27/2023 8:03:12 AM,663210
1765,0747    0800,092,Vacant-With Permit,106142,1200 3RD ST NE WASHINGTON DC 20002-3408,ARMATURE WORKS (RESIDENTIAL) OWNER LLC,100000,0,100000,100000,0,100000,100000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,2/13/2020 12:00:00 AM,2/13/2020 12:00:00 AM,100000,100000,,"318385,318386,318441",1/27/2023 8:03:12 AM,100000
1766,1596    0812,191,Vacant-True,26581,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,1029220,0,1029220,1029220,0,1029220,1029220,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1029220,1029220,,,1/27/2023 8:03:12 AM,1029220
1767,6249    0842,091,Vacant-True,1315,SOUTHERN AVE SE WASHINGTON DC 20032,JOHENNING BAPTIST CHURCH,4880,0,4880,4880,0,4880,4880,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/15/1998 12:00:00 AM,12/15/1998 12:00:00 AM,4880,4880,,,1/27/2023 8:03:12 AM,4880
1768,4473    0132,191,Vacant-True,10260,1023 BLADENSBURG RD NE WASHINGTON DC 20002-2922,1021 BLADENSBURG ROAD BL LLC,806950,0,806950,806950,0,806950,806950,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,806950,806950,,,1/27/2023 8:03:12 AM,806950
1769,5158    0004,093,Vacant-Zoning Limits,2161,48TH PL NE WASHINGTON DC 20019,"MARMARAS, NANCY",10260,0,10260,10260,0,10260,10260,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,10260,10260,"MARMARAS, PETER",74339,1/27/2023 8:03:12 AM,10260
1770,0171    7001,192,Vacant-With Permit,0,NEW YORK AVE NW WASHINGTON DC 20006,1700 NEW YORK AVENUE LLC,577170,0,577170,577170,0,577170,577170,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,20500000,3/14/2014 12:00:00 AM,3/14/2014 12:00:00 AM,577170,577170,,,1/27/2023 8:03:12 AM,577170
1771,2950    0912,091,Vacant-True,822,12TH ST NW WASHINGTON DC 20012,THE HARTLEY OWNER LLC,34470,0,34470,34470,0,34470,34470,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,8/26/2021 12:00:00 AM,8/26/2021 12:00:00 AM,34470,34470,,,1/27/2023 8:03:12 AM,34470
1772,5232    0008,091,Vacant-True,2750,EADS ST NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,35450,0,35450,35450,0,35450,35450,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,35450,35450,,,1/27/2023 8:03:12 AM,35450
1773,5815    0802,091,Vacant-True,218338,POMEROY RD SE WASHINGTON DC 20020,UNITED STATES OF AMERICA,41480,0,41480,41480,0,41480,41480,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,41480,41480,,,1/27/2023 8:03:12 AM,41480
1774,0643E   0800,191,Vacant-True,78788,SW WASHINGTON DC 00000,UNITED STATES OF AMERICA,17790330,0,17790330,17790330,0,17790330,17790330,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,17790330,17790330,,,1/27/2023 8:03:12 AM,17790330
1775,1084    0056,093,Vacant-Zoning Limits,618,12 17TH ST NE WASHINGTON DC 20002,MT MORIAH BAPTIST CHURCH,1350,0,1350,1350,0,1350,1350,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/28/2000 12:00:00 AM,12/28/2000 12:00:00 AM,1350,1350,,,1/27/2023 8:03:12 AM,1350
1776,5852    0014,091,Vacant-True,3798,JASPER ST SE WASHINGTON DC 20020,CIAR PROPERTIES LLC,42080,0,42080,42080,0,42080,42080,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,5/29/2020 12:00:00 AM,5/29/2020 12:00:00 AM,42080,42080,,,1/27/2023 8:03:12 AM,42080
1777,2982    0118,093,Vacant-Zoning Limits,450,NW WASHINGTON DC 00000,"LIN, PATRICIA",3820,0,3820,3820,0,3820,3820,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,3820,3820,"LIN, WILLY",,1/27/2023 8:03:12 AM,3820
1778,3554    0097,093,Vacant-Zoning Limits,252,NE WASHINGTON DC 00000,"RISKIN, AARON",1210,0,1210,1210,0,1210,1210,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1210,1210,"RISKIN, SALLY",,1/27/2023 8:03:12 AM,1210
1779,2084    0860,093,Vacant-Zoning Limits,525,KLINGLE RD NW WASHINGTON DC 20008,TREGARON CONSERVANCY,37020,0,37020,37020,0,37020,37020,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,1/5/2015 12:00:00 AM,1/5/2015 12:00:00 AM,37020,37020,,,1/27/2023 8:03:12 AM,37020
1780,6003E   0038,093,Vacant-Zoning Limits,2185,RALEIGH ST SE WASHINGTON DC 20032,H & B ASSOCIATES,45260,0,45260,45260,0,45260,45260,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,45260,45260,,,1/27/2023 8:03:12 AM,45260
1781,3968    0806,093,Vacant-Zoning Limits,1013,RANDOLPH ST NE WASHINGTON DC 20017,"CALHOUN, MICHAEL D",11420,0,11420,11420,0,11420,11420,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,1550000,6/24/2021 12:00:00 AM,6/24/2021 12:00:00 AM,11420,11420,"DONNER, LISA A",,1/27/2023 8:03:12 AM,11420
1782,2726    0820,191,Vacant-True,1227,14TH ST NW WASHINGTON DC 20011,FIRST DC LIENS LLC,80170,0,80170,80170,0,80170,80170,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,300,2/27/2020 12:00:00 AM,2/27/2020 12:00:00 AM,80170,80170,,,1/27/2023 8:03:12 AM,80170
1783,5865    0264,091,Vacant-True,18503,1212 EATON RD SE WASHINGTON DC 20020,DISTRICT OF COLUMBIA HOUSING AUTHORITY,503840,310390,814230,503840,0,503840,503840,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,9/13/2001 12:00:00 AM,9/13/2001 12:00:00 AM,503840,503840,,,1/27/2023 8:03:12 AM,503840
1784,PAR 00880240,091,Vacant-True,698,14TH ST NW WASHINGTON DC 20011,"EVANS, CHARLENE",6830,0,6830,6830,0,6830,6830,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,500000,8/27/2019 12:00:00 AM,8/27/2019 12:00:00 AM,6830,6830,,,1/27/2023 8:03:12 AM,6830
1785,5860    1038,191,Vacant-True,9115,FIRTH STERLING AVE SE WASHINGTON DC 20020,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),661750,0,661750,661750,0,661750,661750,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,661750,661750,,,1/27/2023 8:03:12 AM,661750
1786,1823    0809,192,Vacant-With Permit,11856,3900 WISCONSIN AVE NW WASHINGTON DC 20016-2806,NASH ROADSIDE 3900 WISCONSIN LLC,576180,0,576180,576180,0,576180,576180,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,576180,576180,,"331636,334728,334729,334730,334731",1/27/2023 8:03:12 AM,576180
1787,2359    0818,191,Vacant-True,2129,ABERFOYLE PL NW WASHINGTON DC 20015,UNITED STATES OF AMERICA,132680,0,132680,132680,0,132680,132680,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,132680,132680,,,1/27/2023 8:03:12 AM,132680
1788,PAR 00640011,191,Vacant-True,2097414,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,52288530,0,52288530,52288530,0,52288530,52288530,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,52288530,52288530,,,1/27/2023 8:03:12 AM,52288530
1789,5145    0801,191,Vacant-True,3016,GRANT ST NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,119340,0,119340,119340,0,119340,119340,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,119340,119340,,,1/27/2023 8:03:12 AM,119340
1790,5093    0050,091,Vacant-True,2400,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,39190,0,39190,39190,0,39190,39190,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,39190,39190,,,1/27/2023 8:03:12 AM,39190
1791,3356    0805,191,Vacant-True,246,MAPLE ST NW WASHINGTON DC 20012,NATCO DEVELOPERS INC SUITE 214,11170,0,11170,11170,0,11170,11170,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,11170,11170,,,1/27/2023 8:03:12 AM,11170
1792,5890    0167,092,Vacant-With Permit,7203,ALABAMA AVE SE WASHINGTON DC 20032,DISTRICT OF COLUMBIA HOUSING AUTHORITY,156310,0,156310,167040,0,167040,158610,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,158610,167040,,300911,1/27/2023 8:03:12 AM,158610
1793,2950    0902,091,Vacant-True,34224,12TH ST NW WASHINGTON DC 20012,DISTRICT OF COLUMBIA,34224,0,34224,34224,0,34224,34224,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,8/26/2021 12:00:00 AM,8/26/2021 12:00:00 AM,34224,34224,,,1/27/2023 8:03:12 AM,34224
1794,2303    0807,093,Vacant-Zoning Limits,425,NEWLANDS ST NW WASHINGTON DC 20015,URSULA LLC,8190,0,8190,8190,0,8190,8190,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,805000,10/25/2021 12:00:00 AM,10/25/2021 12:00:00 AM,8190,8190,,,1/27/2023 8:03:12 AM,8190
1795,3605    0821,195,Vacant-Commercial Use,136216,7TH ST NE WASHINGTON DC 20018,REAL ESTATE & IMPROVEMENT COMPANY OF BALTIMORE,817300,0,817300,817300,0,817300,817300,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,817300,817300,,,1/27/2023 8:03:12 AM,817300
1796,3591    7046,091,Vacant-True,0,5TH ST NE WASHINGTON DC 00000,CG UNION MARKET LP,41630,0,41630,41630,0,41630,41630,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,23500000,3/22/2021 12:00:00 AM,3/22/2021 12:00:00 AM,41630,41630,,,1/27/2023 8:03:12 AM,41630
1797,5803    0878,091,Vacant-True,2494,1376 MORRIS RD SE WASHINGTON DC 20020,UNITED HOUSE OF PRAYER,85720,0,85720,88540,0,88540,86990,0,YES,,NO HOMESTEAD,Vacant real property,5,,0,0,6/18/2007 12:00:00 AM,6/18/2007 12:00:00 AM,86990,88540,,315498,1/27/2023 8:03:12 AM,86990
1798,5132    0091,093,Vacant-Zoning Limits,2313,4515 FOOTE ST NE WASHINGTON DC 20019,A&V GENERAL CONTRACTOR LLC,26110,0,26110,26110,0,26110,26110,0,YES,,NO HOMESTEAD,Vacant real property,5,,0,320000,3/12/2021 12:00:00 AM,3/12/2021 12:00:00 AM,26110,26110,,319641,1/27/2023 8:03:12 AM,26110
1799,PAR 02200026,191,Vacant-True,76496,SE WASHINGTON DC 00000,UNITED STATES OF AMERICA,2270400,0,2270400,2270400,0,2270400,2270400,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,2270400,2270400,,,1/27/2023 8:03:12 AM,2270400
1800,3365    0807,093,Vacant-Zoning Limits,975,2ND ST NW WASHINGTON DC 20012,"LEWIS, GLORIA F",19890,0,19890,22270,0,22270,20190,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,20190,22270,"LEWIS, HARVEY L",,1/27/2023 8:03:12 AM,20190
1801,5402    0052,093,Vacant-Zoning Limits,11142,BURNS ST SE WASHINGTON DC 20019,DUPONT COMMONS HOMEOWNERS ASSOCIATION INC,1000,0,1000,1000,0,1000,1000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,3000,10/16/2008 12:00:00 AM,10/16/2008 12:00:00 AM,1000,1000,,,1/27/2023 8:03:12 AM,1000
1802,1580    0805,093,Vacant-Zoning Limits,316,NW WASHINGTON DC 00000,"CHESTER, W W",4580,0,4580,4580,0,4580,4580,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,4580,4580,"SHAPIRO, M C",,1/27/2023 8:03:12 AM,4580
1803,0083    0809,191,Vacant-True,6864,VIRGINIA AVE NW WASHINGTON DC 20037,UNITED STATES OF AMERICA,186840,0,186840,186840,0,186840,186840,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,186840,186840,,,1/27/2023 8:03:12 AM,186840
1804,3514    0800,191,Vacant-True,195,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,11800,0,11800,11800,0,11800,11800,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,11800,11800,,,1/27/2023 8:03:12 AM,11800
1805,1300E   0800,191,Vacant-True,15143,35TH ST NW WASHINGTON DC 20007,UNITED STATES OF AMERICA,1191000,0,1191000,1191000,0,1191000,1191000,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1191000,1191000,,,1/27/2023 8:03:12 AM,1191000
1806,5197    0075,091,Vacant-True,18000,726 51ST ST NE WASHINGTON DC 20019-5504,726 51ST STREET LLC,540000,0,540000,540000,0,540000,540000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,1015000,5/28/2020 12:00:00 AM,5/28/2020 12:00:00 AM,540000,540000,,336089,1/27/2023 8:03:12 AM,540000
1807,5253    0816,191,Vacant-True,720,57TH ST NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,28490,0,28490,28490,0,28490,28490,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,28490,28490,,,1/27/2023 8:03:12 AM,28490
1808,3192    0824,091,Vacant-True,3600,500 BUTTERNUT ST NW WASHINGTON DC 20012-1928,"ABNEY, DIANA L",23400,0,23400,23400,0,23400,23400,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,23400,23400,"ABNEY, HORACE J",,1/27/2023 8:03:12 AM,23400
1809,1524    0804,091,Vacant-True,2070,49TH ST NW WASHINGTON DC 20016,UNITED STATES OF AMERICA,45080,0,45080,45080,0,45080,45080,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,45080,45080,,,1/27/2023 8:03:12 AM,45080
1810,0256    0809,191,Vacant-True,46161,1300 E ST NW WASHINGTON DC 20004,UNITED STATES OF AMERICA,72429840,0,72429840,72429840,0,72429840,72429840,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,72429840,72429840,,"293198,301591,301592",1/27/2023 8:03:12 AM,72429840
1811,5191N   0001,091,Vacant-True,4931,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,58730,0,58730,58730,0,58730,58730,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,58730,58730,,,1/27/2023 8:03:12 AM,58730
1812,5577    0805,093,Vacant-Zoning Limits,2000,Q ST SE WASHINGTON DC 20020,"BERHE, MESFIN",27100,0,27100,27100,0,27100,27100,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,450000,11/1/2022 12:00:00 AM,11/1/2022 12:00:00 AM,27100,27100,,,1/27/2023 8:03:12 AM,27100
1813,1309    0819,093,Vacant-Zoning Limits,945,38TH ST NW WASHINGTON DC 20007,"CONDRELL, WILLIAM A",10870,0,10870,10870,0,10870,10870,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/29/1985 12:00:00 AM,12/29/1985 12:00:00 AM,10870,10870,,,1/27/2023 8:03:12 AM,10870
1814,5247    0060,093,Vacant-Zoning Limits,2000,307 57TH ST NE WASHINGTON DC 20019-6754,"HANNAH, SHAVON M",11460,0,11460,11460,0,11460,11460,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,514999,4/19/2021 12:00:00 AM,4/19/2021 12:00:00 AM,11460,11460,,,1/27/2023 8:03:12 AM,11460
1815,3108    0800,093,Vacant-Zoning Limits,1447,T ST NW WASHINGTON DC 20001,UNITED STATES OF AMERICA,40720,0,40720,43160,0,43160,41330,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,41330,43160,,,1/27/2023 8:03:12 AM,41330
1816,5862    0140,091,Vacant-True,15911,1128 SUMNER RD SE WASHINGTON DC 20020,DISTRICT OF COLUMBIA HOUSING AUTHORITY,433260,264620,697880,433260,0,433260,433260,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,9/13/2001 12:00:00 AM,9/13/2001 12:00:00 AM,433260,433260,,,1/27/2023 8:03:12 AM,433260
1817,6003E   0052,093,Vacant-Zoning Limits,2337,RALEIGH ST SE WASHINGTON DC 20032,H & B ASSOCIATES,48180,0,48180,48180,0,48180,48180,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,48180,48180,,,1/27/2023 8:03:12 AM,48180
1818,2103    0073,191,Vacant-True,3238,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,117540,0,117540,117540,0,117540,117540,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,117540,117540,,,1/27/2023 8:03:12 AM,117540
1819,0667S   0013,195,Vacant-Commercial Use,3289,WATER ST SW WASHINGTON DC 20024,UNITED STATES OF AMERICA,1193910,0,1193910,1193910,0,1193910,1193910,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1193910,1193910,,,1/27/2023 8:03:12 AM,1193910
1820,5051    0804,193,Vacant-Zoning Limits,1994,DIX ST NE WASHINGTON DC 20019,DIX SPV LLC,71720,0,71720,71720,0,71720,71720,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,8004000,10/27/2022 12:00:00 AM,10/27/2022 12:00:00 AM,71720,71720,,,1/27/2023 8:03:12 AM,71720
1821,5157    0040,093,Vacant-Zoning Limits,2832,4551 MINNESOTA AVE NE WASHINGTON DC 20019-3850,"YUAN, QIYAO",12910,0,12910,12910,0,12910,12910,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,3/8/2007 12:00:00 AM,3/8/2007 12:00:00 AM,12910,12910,,,1/27/2023 8:03:12 AM,12910
1822,5883    0060,093,Vacant-Zoning Limits,31585,STANTON TER SE WASHINGTON DC 20020,DISTRICT OF COLUMBIA HOUSING AUTHORITY,297210,0,297210,323110,0,323110,301950,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,301950,323110,,,1/27/2023 8:03:12 AM,301950
1823,2119    0803,091,Vacant-True,13459,NW WASHINGTON DC 00000,"RAFSHOON, EDEN",875640,0,875640,875640,0,875640,875640,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,3700000,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,875640,875640,,,1/27/2023 8:03:12 AM,875640
1824,0933    0028,092,Vacant-With Permit,1233,909 I ST NE WASHINGTON DC 20002,EMILY LUISA RAYNOR TRUSTEE,461590,127430,589020,505510,0,505510,466200,138710,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,9/8/2020 12:00:00 AM,9/8/2020 12:00:00 AM,604910,505510,WESLEY VAUGHN RAYNOR TRUSTEE,,1/27/2023 8:03:12 AM,604910
1825,5745    0050,191,Vacant-True,19988,SE WASHINGTON DC 00000,UNITED STATES OF AMERICA,790930,0,790930,790930,0,790930,790930,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,790930,790930,,,1/27/2023 8:03:12 AM,790930
1826,5827    0010,091,Vacant-True,1049,2302 POMEROY RD SE WASHINGTON DC 20020,DISTRICT OF COLUMBIA,20980,0,20980,20980,0,20980,20980,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,5/13/2004 12:00:00 AM,5/13/2004 12:00:00 AM,20980,20980,,,1/27/2023 8:03:12 AM,20980
1827,2122    0021,191,Vacant-True,6735,34TH ST NW WASHINGTON DC 20008,PERMANENT OBSERV MISSION HOLY SEE TO OAS,839380,0,839380,839380,0,839380,839380,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,839380,839380,,,1/27/2023 8:03:12 AM,839380
